No.;"Nama Lembaga";"No. Seri Kartu SAM";"No. Manifest Kartu SAM";"No. PCID";Keterangan
146;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043779;2019AA11100500000000000000043779;Berhasil;R
147;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043780;2019AA11100500000000000000043780;Berhasil;R
148;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043781;2019AA11100500000000000000043781;Berhasil;R
149;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043782;2019AA11100500000000000000043782;Berhasil;R
150;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043783;2019AA11100500000000000000043783;Berhasil;R
151;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043784;2019AA11100500000000000000043784;Berhasil;R
152;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043785;2019AA11100500000000000000043785;Berhasil;R
153;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043786;2019AA11100500000000000000043786;Berhasil;R
154;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043787;2019AA11100500000000000000043787;Berhasil;R
155;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043788;2019AA11100500000000000000043788;Berhasil;R
156;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043789;2019AA11100500000000000000043789;Berhasil;R
157;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043790;2019AA11100500000000000000043790;Berhasil;R
158;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043791;2019AA11100500000000000000043791;Berhasil;R
159;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043792;2019AA11100500000000000000043792;Berhasil;R
160;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043793;2019AA11100500000000000000043793;Berhasil;R
161;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043794;2019AA11100500000000000000043794;Berhasil;R
